pkg,size_mb,forkevent_pre,pullrequestevent_pre,pushevent_pre,releaseevent_pre,watchevent_pre,issues_opened_pre,issues_closed_pre
kordigits,306.3408203125,0.0,0.0,16.0,0.0,0.0,0.0,0.0
krbjack,0.046875,0.0,0.0,6.0,0.0,0.0,0.0,0.0
langforge-ai,1.0244140625,10.0,0.0,44.0,0.0,116.0,4.0,3.0
latest-earth-quake-indonesia-chatur,0.025390625,0.0,0.0,13.0,1.0,0.0,0.0,0.0
lazytensor,0.01171875,0.0,0.0,4.0,4.0,0.0,2.0,0.0
libretiny-esphome-dashboard,4.865234375,9.0,145.0,71.0,3.0,4.0,3.0,3.0
licensing-models,0.5263671875,21.0,5.0,0.0,0.0,134.0,5.0,1.0
lidar-visualizer,0.0185546875,1.0,0.0,4.0,1.0,70.0,1.0,1.0
lightning-rod,0.3203125,0.0,9.0,18.0,1.0,0.0,0.0,0.0
liquid-jsonpath,0.0166015625,0.0,0.0,4.0,0.0,0.0,0.0,0.0
livesolid,,,,,,,,
llmwrite,56.4072265625,0.0,0.0,5.0,0.0,5.0,0.0,0.0
loadingbar-py-diggs,0.015625,0.0,2.0,8.0,2.0,0.0,0.0,0.0
loadmemory,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local-age-detection-python-backend,0.6474609375,2.0,0.0,0.0,0.0,1.0,0.0,0.0
local-bert-python-backend,0.6474609375,2.0,0.0,0.0,0.0,1.0,0.0,0.0
local-dialog-workflow-python-backend,0.6474609375,2.0,0.0,0.0,0.0,1.0,0.0,0.0
local-real-estate-python-backend,0.6474609375,2.0,0.0,0.0,0.0,1.0,0.0,0.0
locate-pixelcolor-cythonmulti,0.0849609375,0.0,0.0,2.0,0.0,0.0,0.0,0.0
locate-pixelcolor-cythonsingle,0.083984375,0.0,0.0,2.0,0.0,0.0,0.0,0.0
locust-grasshopper,0.099609375,1.0,7.0,14.0,0.0,96.0,0.0,0.0
loggerml,28.5986328125,0.0,68.0,61.0,9.0,2.0,0.0,0.0
lpython-emulation,0.03515625,0.0,0.0,9.0,0.0,0.0,0.0,0.0
luhncheck,0.0810546875,0.0,0.0,10.0,1.0,0.0,0.0,0.0
makasuipatch,0.0283203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matematicassimple,0.0224609375,0.0,2.0,3.0,0.0,0.0,0.0,0.0
mdup,0.0283203125,0.0,0.0,29.0,0.0,0.0,3.0,2.0
medcam3d,0.318359375,0.0,0.0,2.0,0.0,0.0,0.0,0.0
mercury-explainability,3.451171875,2.0,18.0,23.0,3.0,3.0,0.0,0.0
merkleasy,0.080078125,0.0,0.0,8.0,1.0,1.0,0.0,0.0
merlon,2.4794921875,1.0,2.0,66.0,14.0,8.0,39.0,13.0
metadynminer,14.3056640625,0.0,0.0,24.0,1.0,4.0,1.0,1.0
methodism,0.03515625,0.0,0.0,9.0,0.0,1.0,0.0,0.0
meural-photo-prep,,,,,,,,
micropython-icm20948,0.048828125,0.0,0.0,22.0,2.0,1.0,0.0,0.0
mindmate,0.044921875,0.0,7.0,17.0,3.0,2.0,4.0,4.0
mindocr,7.4228515625,20.0,191.0,86.0,1.0,15.0,39.0,23.0
miniagent,0.1044921875,0.0,0.0,10.0,0.0,0.0,0.0,0.0
mlpj,0.203125,0.0,0.0,32.0,0.0,0.0,0.0,0.0
